0.364433 0.21549
0.42206 0.225981
0.449576 0.205323
0.428583 0.2212
0.405611 0.23771
0.415504 0.230712
0.367937 0.204438
0.377306 0.21028
0.366099 0.210234
0.369774 0.198643
0.382236 0.253566
0.388957 0.249105
0.392171 0.204286
0.39734 0.202208
0.386877 0.206418
0.371612 0.192847
0.384157 0.0891414
0.387554 0.0749922
0.38144 0.0149006
0.387906 0.0352685
0.384847 0.0234706
0.388784 0.0668099
0.389339 0.0606574
0.389241 0.0453355
0.386582 0.0293235
0.389549 0.0555335
0.388707 0.0402807
0.346322 0.0196902
0.346291 -0.00585475
0.358968 -0.103081
0.352723 -0.123644
0.350243 -0.129756
0.355744 -0.11501
0.361929 -0.0820967
0.360573 -0.0946493
0.361729 -0.0637749
0.360697 -0.0546006
0.362094 -0.070435
0.357942 -0.0403319
0.359573 -0.0479037
0.336335 0.0205975
0.34356 0.000373314
0.356932 0.0166044
0.340636 0.00667545
0.367208 0.0120254
0.351516 0.0184207
-0.0267283 -0.308956
-0.0354654 -0.303541
-0.447657 -0.290003
-0.455294 -0.284359
-0.465798 -0.275811
-0.337024 -0.223049
-0.341997 -0.215645
-0.35558 -0.199572
-0.346568 -0.209835
-0.363855 -0.19076
-0.332527 -0.248493
-0.337039 -0.256607
-0.331431 -0.237789
-0.333487 -0.230127
-0.351897 -0.267658
-0.343485 -0.26318
-0.290561 -0.287162
-0.295578 -0.293171
-0.28178 -0.273114
-0.364799 -0.268279
-0.356936 -0.268679
-0.4185 -0.182598
-0.369426 -0.184946
-0.409814 -0.198172
-0.413269 -0.191146
-0.372551 -0.265812
-0.384083 -0.258578
-0.393543 -0.249009
-0.40212 -0.23493
-0.377835 -0.263032
-0.398964 -0.241195
-0.404751 -0.224695
-0.405533 -0.212334
-0.404827 -0.218862
-0.470821 -0.271352
-0.485553 -0.256442
-0.478467 -0.264004
-0.407537 -0.2042
-0.244018 -0.18897
-0.282833 -0.197989
-0.291821 -0.185173
-0.235647 -0.189881
-0.272965 -0.240755
-0.286719 -0.281718
-0.277874 -0.264072
-0.275866 -0.257851
-0.228239 -0.24981
-0.221777 -0.259891
-0.27396 -0.249375
-0.278769 -0.206263
-0.276431 -0.21261
-0.274451 -0.220125
-0.273519 -0.225541
-0.272916 -0.232064
-0.231738 -0.243794
-0.236718 -0.234417
-0.248366 -0.2073
-0.244281 -0.217834
-0.241368 -0.224612
-0.311923 -0.307261
-0.333047 -0.317765
-0.324148 -0.314165
-0.414968 -0.309554
-0.436478 -0.2975
-0.460615 -0.280151
-0.425147 -0.304234
-0.383882 -0.320986
-0.442098 -0.29384
-0.408259 -0.312671
-0.430821 -0.300969
-0.396268 -0.317407
-0.402749 -0.314987
-0.3037 -0.301026
0.322061 0.170243
0.330898 0.165469
0.377565 0.00753424
0.403623 0.199687
0.455974 0.200337
0.463931 0.194042
0.4224 0.192189
0.410901 0.196773
0.485986 0.176057
0.467325 0.174635
0.47606 0.171345
0.436695 0.215153
0.497213 0.164039
0.493787 0.169511
0.482408 0.16901
0.470265 0.188956
0.373449 0.187052
0.375588 0.111421
0.370887 0.120531
0.376654 0.176943
0.478146 0.182539
0.4486 0.18186
0.455587 0.179143
0.44315 0.210262
0.443028 0.18404
0.432074 0.188354
0.380756 0.164005
0.437172 0.186342
0.3748 0.163476
0.365681 0.164646
0.360057 0.165368
0.378549 0.104811
0.385543 0.0841228
0.381566 0.0970611
0.341455 0.157621
0.35109 0.166518
0.347259 0.15223
-0.184592 -0.301084
-0.206523 -0.279624
-0.201027 -0.285648
0.157488 0.357253
0.165555 0.355004
0.197298 0.345141
0.210928 0.340401
0.205105 0.342464
0.187467 0.348371
0.177556 0.351467
0.346359 0.276025
0.353271 0.271875
0.377172 0.256874
0.368687 0.262315
0.361859 0.266602
0.32186 0.290049
0.314771 0.293908
0.330665 0.285131
0.337665 0.281124
0.276863 0.313043
0.284175 0.309549
0.305851 0.298638
0.296866 0.303261
0.222489 0.336137
0.291443 0.305982
0.267661 0.317309
0.258388 0.321459
0.250919 0.324695
0.243403 0.327853
0.233941 0.331693
-0.422027 0.251125
-0.414372 0.259669
-0.401749 0.272418
-0.331949 0.32358
-0.323658 0.328151
-0.297038 0.341161
-0.282954 0.347058
-0.30625 0.336949
-0.31531 0.332509
-0.362956 0.304042
-0.342891 0.317151
-0.349652 0.312936
0.317422 -0.1364
0.345274 -0.140383
0.325294 -0.140346
0.34094 -0.148494
0.333494 -0.14457
0.337065 0.0139766
0.372284 0.00933365
0.34917 -0.0128899
0.355934 -0.0327073
0.353843 -0.0258746
0.35147 -0.0189803
0.361361 -0.0887802
0.362016 0.0145041
0.378363 0.171552
0.358921 0.138845
0.352285 0.146906
0.365696 0.129182
0.488678 0.166779
0.338931 0.168078
0.308815 -0.210291
0.31454 -0.233792
0.30804 -0.235774
0.320145 -0.223027
0.298744 -0.19897
0.314354 -0.216518
0.275077 -0.172365
0.28968 -0.188781
0.249396 -0.143496
0.279861 -0.177742
0.265006 -0.161044
0.259467 -0.154817
0.228862 -0.116377
0.26979 -0.166421
0.240332 -0.133307
0.26694 -0.115053
0.25793 -0.112515
0.230513 -0.122268
0.236875 -0.110965
0.247717 -0.110651
0.357268 -0.109877
0.295949 -0.239367
0.304283 -0.205196
0.325432 -0.228971
0.271459 -0.246107
0.263218 -0.248163
0.28324 -0.242969
0.302513 -0.237434
0.142658 -0.278259
0.152229 -0.291615
0.14791 -0.285589
0.133205 -0.265066
0.137873 -0.271581
0.124101 -0.252361
0.139591 -0.255882
0.129252 -0.25368
0.206965 -0.258078
0.199107 -0.258743
0.12912 -0.259365
0.156741 -0.258314
0.147374 -0.257167
0.17188 -0.259313
0.164043 -0.258923
0.18601 -0.259371
0.17711 -0.259428
-0.0449008 -0.0616457
-0.0397552 -0.0435721
-0.0491175 0.0658827
-0.0521759 0.0728702
-0.0760718 0.111653
-0.0834166 0.120375
-0.0703504 0.104065
-0.065007 0.0962025
-0.0600557 0.0880829
-0.0369658 0.0215691
-0.0382172 0.0291976
-0.0555104 0.0797219
-0.0450631 0.0551648
-0.0416702 0.044188
-0.0470091 0.0605579
0.248204 -0.251571
0.277616 -0.244494
0.254428 -0.250215
0.215866 -0.257082
0.290371 -0.240973
0.234675 -0.254209
0.191248 -0.259195
0.222666 -0.256159
0.228935 -0.25519
0.30444 -0.130165
0.285148 -0.183686
0.2853 -0.121772
0.291648 -0.12443
0.242487 -0.252739
0.2358 -0.128212
0.345011 0.167298
0.462069 0.176643
0.397311 0.24345
0.371664 0.212562
0.362127 -0.0770955
0.336202 0.161837
0.41675 0.194439
-0.167211 0.376992
-0.148864 0.379415
-0.154115 0.378775
-0.159359 0.378093
-0.122547 0.382014
-0.133082 0.381092
0.111808 0.367876
0.11991 0.366227
0.216722 0.338292
0.150192 0.359186
0.228229 0.333937
0.142957 0.361005
0.12975 0.364098
0.0500624 0.377704
0.171571 0.35326
0.135493 0.362787
0.0971627 0.370631
0.10351 0.369471
0.0819604 0.373203
0.090713 0.371757
0.0707852 0.374914
-0.290034 0.344172
-0.273398 0.350716
-0.236536 0.362561
-0.228994 0.364588
-0.246511 0.359684
-0.0108885 0.383127
-0.00085566 0.382516
0.0593647 0.376512
0.0406216 0.378813
0.0262187 0.380314
0.033455 0.379589
0.0140124 0.381407
-0.0988498 0.383535
-0.0830938 0.384143
