0.426779 	0.190451
0.425696 	0.19088
0.424605 	0.191313
0.423507 	0.19175
0.4224 	0.192189
0.421286 	0.192632
0.420164 	0.193079
0.419034 	0.193529
0.417896 	0.193982
0.41675 	0.194439
0.415596 	0.194899
0.414434 	0.195362
0.413264 	0.195829
0.412087 	0.1963
0.410901 	0.196773
0.409708 	0.19725
0.408507 	0.197731
0.407298 	0.198215
0.406081 	0.198702
0.404856 	0.199193
0.403623 	0.199687
0.402382 	0.200184
0.401133 	0.200685
0.399877 	0.201189
0.398612 	0.201697
0.377306 	0.21028
0.375908 	0.210845
0.374501 	0.211414
0.373086 	0.211986
0.371664 	0.212562
0.384182 	0.207504
0.382822 	0.208053
0.381455 	0.208604
0.38008 	0.20916
0.378697 	0.209718
0.39086 	0.204814
0.38954 	0.205345
0.388212 	0.20588
0.386877 	0.206418
0.385533 	0.206959
0.39734 	0.202208
0.39606 	0.202722
0.394771 	0.20324
0.393475 	0.203761
0.392171 	0.204286
0.365895 	0.214898
0.367349 	0.214308
0.368795 	0.213723
0.370234 	0.213141
0.364433 	0.21549
0.364433 	0.21549
0.364476 	0.215355
0.364518 	0.21522
0.364561 	0.215086
0.364604 	0.214951
0.364647 	0.214816
0.364689 	0.214681
0.364732 	0.214547
0.364775 	0.214412
0.364818 	0.214277
0.36486 	0.214142
0.364903 	0.214007
0.364946 	0.213873
0.364988 	0.213738
0.365031 	0.213603
0.365074 	0.213468
0.365117 	0.213334
0.365159 	0.213199
0.365202 	0.213064
0.365245 	0.212929
0.365288 	0.212794
0.36533 	0.21266
0.365373 	0.212525
0.365416 	0.21239
0.365459 	0.212255
0.365501 	0.212121
0.365544 	0.211986
0.365587 	0.211851
0.365629 	0.211716
0.365672 	0.211581
0.365715 	0.211447
0.365758 	0.211312
0.3658 	0.211177
0.365843 	0.211042
0.365886 	0.210908
0.365929 	0.210773
0.365971 	0.210638
0.366014 	0.210503
0.366057 	0.210368
0.366099 	0.210234
0.366142 	0.210099
0.366185 	0.209964
0.366228 	0.209829
0.36627 	0.209695
0.366313 	0.20956
0.366356 	0.209425
0.366399 	0.20929
0.366441 	0.209155
0.366484 	0.209021
0.366527 	0.208886
0.366527 	0.208886
0.366569 	0.208751
0.366612 	0.208616
0.366655 	0.208482
0.366698 	0.208347
0.36674 	0.208212
0.366783 	0.208077
0.366826 	0.207942
0.366869 	0.207808
0.366911 	0.207673
0.366954 	0.207538
0.366997 	0.207403
0.36704 	0.207269
0.367082 	0.207134
0.367125 	0.206999
0.367168 	0.206864
0.36721 	0.206729
0.367253 	0.206595
0.367296 	0.20646
0.367339 	0.206325
0.367381 	0.20619
0.367424 	0.206056
0.367467 	0.205921
0.36751 	0.205786
0.367552 	0.205651
0.367595 	0.205516
0.367638 	0.205382
0.36768 	0.205247
0.367723 	0.205112
0.367766 	0.204977
0.367809 	0.204843
0.367851 	0.204708
0.367894 	0.204573
0.367937 	0.204438
0.36798 	0.204303
0.368022 	0.204169
0.368065 	0.204034
0.368108 	0.203899
0.36815 	0.203764
0.368193 	0.20363
0.368236 	0.203495
0.368279 	0.20336
0.368321 	0.203225
0.368364 	0.20309
0.368407 	0.202956
0.36845 	0.202821
0.368492 	0.202686
0.368535 	0.202551
0.368578 	0.202417
0.368621 	0.202282
0.368621 	0.202282
0.368663 	0.202147
0.368706 	0.202012
0.368749 	0.201877
0.368791 	0.201743
0.368834 	0.201608
0.368877 	0.201473
0.36892 	0.201338
0.368962 	0.201204
0.369005 	0.201069
0.369048 	0.200934
0.369091 	0.200799
0.369133 	0.200664
0.369176 	0.20053
0.369219 	0.200395
0.369261 	0.20026
0.369304 	0.200125
0.369347 	0.199991
0.36939 	0.199856
0.369432 	0.199721
0.369475 	0.199586
0.369518 	0.199451
0.369561 	0.199317
0.369603 	0.199182
0.369646 	0.199047
0.369689 	0.198912
0.369731 	0.198778
0.369774 	0.198643
0.369817 	0.198508
0.36986 	0.198373
0.369902 	0.198238
0.369945 	0.198104
